SampleID,SamDate,Lat,Lon,YearDug,WellAge,WellType,WellDepth,District,Thana,Arsenic,DEM,RAIN,GWD,SAND,LOAM,HCOND,USC,RCHG,RTRND,IRRIG
S98_04280,14/05/1998 00:00,23.228,90.955,1985,13,STW,23,Chandpur,Shahrasti,1090,6.92,1966,5.49,0,90,15.67,10.89,97.37,0.5,5.7
S98_03477,22/04/1998 00:00,23.892,88.935,1994,4,STW,37,Kushtia,Mirpur (K),1030,14.7,1452,8.72,1.01,51,36.19,21.26,271.68,6.02,7.81
S98_03832,18/05/1998 00:00,23.526,89.88,1990,8,STW,15,Faridpur,Nagarkanda,924,7,1880,5.65,0.34,48.55,26.29,13.17,268.14,1.71,4.95
S98_03859,28/04/1998 00:00,22.821,90.599,1988,10,STW,20,Barisal,Mehendiganj,862,2.5,2206,4.42,0,18.61,14.43,8.18,74.91,-0.28,0.52
S98_04205,07/05/1998 00:00,23.1,90.882,1996,2,STW,19,Lakshmipur,Ramganj,816,7.93,2073,4.32,0,89.76,16.25,10.34,79.92,0.06,2.96
S98_04245,08/05/1998 00:00,22.992,90.744,1995,3,STW,14,Lakshmipur,Raipur (L),744,7.25,2144,4.56,0,70.93,14.41,8.27,80.47,-0.03,1.02
S98_03869,29/04/1998 00:00,22.782,90.267,1996,2,STW,14,Barisal,Babuganj,735,5.7,2033,3.29,0,19,14.76,15.02,68.8,-0.28,0.11
S98_04111,29/04/1998 00:00,23.775,90.802,1993,5,STW,22,Brahamanbaria,Banchharampur,735,7,2032,5.05,13.65,58.73,14.22,9.69,127.75,1.42,4.61
S99_07247,16/06/1999 00:00,25.5962,89.4541,1997,2,HTW,19.8,Gaibandha,Sundarganj,708,26.45,2139,5.51,6.49,87.98,44.4,7.08,409.18,6.47,9.14
S98_04298,07/05/1998 00:00,23.082,90.829,1997,1,STW,11,Lakshmipur,Ramganj,704,9.84,2074,4.25,0,65.34,15.76,9.99,81.68,-0.04,2
S98_04085,26/04/1998 00:00,23.494,90.719,1992,6,STW,29,Comilla,Daudkandi,698,7.55,1930,4.65,0.62,83.39,14.56,15.36,104.74,1.59,2.32
S98_04118,30/04/1998 00:00,23.138,91.145,1992,6,STW,15,Comilla,Nangalkot,668,6.95,2114,6.73,0.01,90,15.09,15.89,136.83,0.88,5.57
S98_03560,29/04/1998 00:00,22.993,90.34,1990,8,STW,15,Barisal,Muladi,667,7.48,1992,3.54,0.34,19.52,16.43,9.75,82.99,0.03,1.12
S98_03321,22/04/1998 00:00,24.096,88.924,1994,4,Tara,31,Kushtia,Daulatpur (Ku),665,13.63,1491,9.54,1.19,62.42,37.06,21.92,430.8,4.8,7.34
S98_04338,14/05/1998 00:00,22.996,90.984,1968,30,STW,11,Noakhali,Chatkhil,649,8.28,2276,3.61,0,89.99,18.02,13.16,64.58,-0.05,2.97
S98_04336,14/05/1998 00:00,23.026,90.906,1986,12,STW,12,Noakhali,Chatkhil,645,9,2170,4.2,0,87.63,17.1,10.98,72.15,-0.12,2.73
S98_04199,05/05/1998 00:00,23.166,90.762,1974,24,STW,21,Chandpur,Faridganj,644,8.44,2010,4.11,0.01,50.57,14.53,10.84,108.9,0.43,1.22
