SampleID,SamDate,Lat,Lon,YearDug,WellAge,WellType,WellDepth,District,Thana,Arsenic,DEM,RAIN,GWD,SAND,LOAM,HCOND,USC,RCHG,RTRND,IRRIG
S98_04280,14/05/1998 00:00,23.228,90.955,1985,13,STW,23,Chandpur,Shahrasti,1090,7.100452427,1966.229575,5.423820207,0,90,15.67411685,10.90488777,97.44340701,0.498535514,5.682332694
S98_03477,22/04/1998 00:00,23.892,88.935,1994,4,STW,37,Kushtia,Mirpur (K),1030,14.9600366,1452.383636,8.718739372,1,51,36.15190323,21.18276764,271.4608048,6.024045378,7.794560158
S98_03832,18/05/1998 00:00,23.526,89.88,1990,8,STW,15,Faridpur,Nagarkanda,924,6.815916809,1880.200206,5.64820566,0.130094278,48.37386552,26.27591205,13.17189478,268.1157273,1.70767382,4.941921813
S98_03859,28/04/1998 00:00,22.821,90.599,1988,10,STW,20,Barisal,Mehendiganj,862,7.581610968,2205.85368,4.448439989,0,18.40178977,14.4457354,8.131696013,74.98330196,-0.280789135,0.522224377
S98_04205,07/05/1998 00:00,23.1,90.882,1996,2,STW,19,Lakshmipur,Ramganj,816,7.90721671,2072.990107,4.328346029,0,89.78993842,16.26457659,10.35409954,79.93260989,0.059627542,2.970057452
S98_04111,29/04/1998 00:00,23.775,90.802,1993,5,STW,22,Brahamanbaria,Banchharampur,735,6.473523814,2032.034325,5.065420412,13.99742391,58.76004951,14.22395262,9.69552219,127.8059953,1.413861107,4.615964659
S98_04085,26/04/1998 00:00,23.494,90.719,1992,6,STW,29,Comilla,Daudkandi,698,5.976112709,1930.134533,4.655314228,1.195187608,84.23439754,14.53854092,15.36435116,104.6932693,1.584732174,2.320064162
S98_04118,30/04/1998 00:00,23.138,91.145,1992,6,STW,15,Comilla,Nangalkot,668,7.218235607,2113.914975,6.750300485,0,90,15.12249609,15.81919779,138.0321334,0.860773799,5.555211496
S98_04338,14/05/1998 00:00,22.996,90.984,1968,30,STW,11,Noakhali,Chatkhil,649,8.680429669,2275.723347,3.630840768,0,89.99263551,18.01677178,13.20201756,64.35946416,-0.037126455,2.984061352
S98_04336,14/05/1998 00:00,23.026,90.906,1986,12,STW,12,Noakhali,Chatkhil,645,9,2170.003651,4.216374226,0,87.92000475,17.09670354,10.97620875,72.08855681,-0.125991875,2.716467526
S98_04201,06/05/1998 00:00,23.349,90.755,1990,8,STW,20,Chandpur,Matlab,644,5.898076762,1927.421449,4.047385659,1.071350979,84.02878003,13.46422865,16.41709647,113.3424944,1.095362048,2.906328149
S98_04199,05/05/1998 00:00,23.166,90.762,1974,24,STW,21,Chandpur,Faridganj,644,8.850215358,2010.008937,4.10698119,0,50.36087031,14.57759856,10.85688629,109.2078203,0.425245544,1.241052726
